Date,USD,JPY,GBP,CHF,SEK,NOK,AUD,CAD,DKK
2004-01-05,0.006949298293205952,-0.0010300916152710116,-0.003307201873983312,0.0014458852445336512,0.0037175125670190212,0.006889227409545118,-0.00701133581479596,-0.0005984946103785305,7.770173688781412e-05
2004-01-06,0.007381046490076509,0.00832310967797767,-0.0013383548017397717,0.003315008522598084,0.002850140530187062,0.0133554149801558,0.004842681218043321,0.009019943333286429,0.0002218657836832172
2004-01-07,-0.008521514205403175,-0.008615680597488407,-0.005606591390859339,0.0006443041110192893,-0.0021923349392256597,0.007840131560522767,-0.006367335806588437,-0.003853698043702669,0.00023676862287613787
2004-01-08,0.008393792128468691,0.008205432738196627,0.0003572191938698843,-0.0023214658455447124,0.002527034136304618,0.008760885851617495,-0.000638577149328079,0.0010711762502674804,-0.0003987866048826838
2004-01-09,0.0064061718124114875,0.009885090275782993,-0.0007715529394036191,0.0012513103382821855,-0.0010465801129138086,-0.0074156972214658445,0.0035327181985984057,-0.0014431620520434785,0.0002999391218798664
2004-01-12,-0.003976658437860103,-0.004539985839857152,-0.006195594259545634,-0.001109566570104581,0.0017935356031406613,-0.002043428599384889,-0.005377545895540015,-0.00043683173273584286,-0.00010218633030145696
2004-01-13,-0.0052352797860542866,-0.007397646068384667,-0.0009866357299549988,-0.002213265806493836,0.0017707130297228701,-0.006632779381649634,-0.0031346838450163617,-0.005706533329177366,-5.836202552256253e-05
2004-01-14,-0.0007638447220534861,-0.0025536808175949943,0.0005256461078184671,-0.00027464781054459264,0.004988727833478368,-0.001597326939740018,-0.0016968982070535987,0.009941473378457744,0.00043228678995799186
2004-01-15,-0.010884805606603376,-0.010507731695650335,0.0002823584974848692,0.0015900422785029011,-0.0007527273372636145,0.00536130566261761,-0.0008998161121662185,-0.0012931479129038581,0.00020500210449814205
2004-01-16,-0.015488693349093835,-0.008257596432225789,-0.003904853411792919,0.0034106371684861636,0.0004985854932653133,0.003031967246364342,-0.010418389792681504,-0.016644094979649526,-0.0003197454659060739
2004-01-21,0.0026460041897990727,-0.0004379662933464701,-0.00319129804737861,-0.0007283060737893754,-0.007282373007535536,-0.005854706533682474,-0.0027523277292913484,0.014779543056044842,-0.0008213763402564744
2004-01-22,0.007980281758864255,0.000841419954657141,-0.00028650546881070493,0.0008731609048091005,0.0014456738692767424,0.004515351461213957,0.0004512362187814589,0.004286264937021167,0.0004972536436578245
2004-01-23,-0.008484822637377598,-0.007260082741482599,0.004891464757503239,-0.001055847902204865,0.0037155227878868935,1.3335791684276899e-06,0.0014385086574242312,0.002632792353106983,0.0002681544272391534
2004-01-26,-0.0046549747514722795,-0.005220052935654529,-0.004472974568969779,-0.00032005586555905463,0.0023481434682883773,0.000574291776900715,-0.00666269743361303,-0.003511899755604675,-0.00043342170720750417
2004-01-27,0.007180228618666407,0.001606552104524539,0.0028030558447705856,-0.0004586136562649834,-0.0014778341244481297,-0.0002775817754634424,-0.0025289625701869767,0.0009154056226742813,0.0001626559600196309
2004-01-28,-0.0017683470567420034,-0.002147350282806215,-0.0067156773492111355,0.001535576332276245,-0.0012163945106471452,0.013771517240397824,0.0004147194581616276,0.011176324672806492,-0.0009202425194336783
2004-01-29,-0.018505154215003344,-0.013117872152882626,-0.004460235702315352,-0.003255966461129578,0.0034617567742514233,0.003407147750178474,0.007933520690297291,-0.009317650775786723,0.001968794712641664
2004-01-30,0.00509222984498256,0.0027329591805029807,-0.0005385179354856495,0.0028712405921985096,0.005362098960100425,-0.002984980104873358,-0.00015513000329608895,-0.0005458230527920493,-0.0012400692679905845
2004-02-02,-0.0021145601510581535,-0.004479410139335727,-0.00029472343407221935,0.000660906520977611,-0.00472184174856638,-0.006757525126572794,0.00563270630577456,0.00689112923155466,0.00038982382755836653
2004-02-03,0.01086899325094215,0.008688380867544865,8.376851630520488e-05,-0.0010804837562083947,0.0008496730444274014,0.006621483708129539,-0.0003153588885970171,0.010046839910413108,-0.00019751807884116346
2004-02-04,-0.0007533902917876145,0.0008588249561851669,0.0016330266278206662,0.0007681315232642705,-0.000343582212833482,0.0015448008949752179,0.002759941054483517,-0.004048779732957253,0.00042615319319061484
2004-02-05,0.0042767360783629305,0.00418197180442359,0.0018903191587545942,-5.3663631789491184e-05,0.0010620689688143337,0.0021223366813369893,0.000227683600387385,0.0033761055761765135,-0.0006190278996673904
2004-02-06,0.006957209771151884,0.007430941363696597,0.0025364989431252982,-0.0011119052605507163,-0.00899451472467927,-0.0024325305786874196,0.0038904282522918554,0.005379151957289996,0.000505574489663374
2004-02-09,-0.0016488049901839386,-0.0006073847777177122,-0.00813090936123162,0.0007787734798632151,0.0014093013686369282,-0.005648083180102237,-0.012146778669496094,-0.0011225089741262462,-0.00011702016169756746
2004-02-10,0.004318015345213533,0.0030871294254728454,-0.0020193777198037055,0.0009177530017682178,6.16500381900309e-06,0.014538828469917942,-0.0026121272437719667,0.0031898988039575915,0.0009108570235993874
2004-02-11,0.0068965790590602705,0.005189770376166969,-0.001176308114690161,0.003810156855870883,0.0006743056890061716,0.004441526919751304,0.001019049502354985,-0.0014912737986821911,4.723721348565135e-05
2004-02-12,-0.0006405739761672913,-0.00016616816054249028,-0.0038502434927284446,0.00033511518164780485,0.0005509453517644758,-0.0011467749487583667,-0.004104871590919601,0.0001179787416891731,-0.0006405739761672358
2004-02-13,-0.004472565119737898,-0.002766565274638033,-0.0001325262288610074,0.0009576058600661019,-0.0012555541629040157,-0.00324366410846455,-0.0029751459172907557,-0.007510234527249637,-0.0005284632907844866
2004-02-18,-0.0028226859901442913,0.002550376849230318,-0.0016806988085556474,-0.0003804835389166761,0.0002460847261542831,0.003210295017548326,0.003302298357298561,0.0028068458038159605,-0.00024070676073195685
2004-02-19,-0.009943988110375862,-0.00319796796116556,-0.004631890625485746,0.00032910527085278085,-0.0034885462637488374,-0.0036439564108063927,-0.0076468664222147376,-0.002311228590537784,-0.0013852230952773326
2004-02-20,-0.009720457778520541,0.00639697151666585,0.003811039798101712,0.0019606095152986946,0.0019047806258987166,0.0016918318809779898,0.012268768910946193,0.0021786536188872496,0.0011289451343463597
