Date,USD,JPY,GBP,CHF,SEK,NOK,AUD,CAD,DKK
2004-01-01,,,,,,,,,
2004-01-02,1.2591286829513977,134.663812641652,0.7033492822966507,1.5600604381767817,9.053512969025434,8.384537899773356,1.662049861495845,1.624276001007303,7.446612943842861
2004-01-05,1.2679092177000129,134.52516799797135,0.701027006466337,1.5623177380499556,9.08723215417776,8.442500316977304,1.6504374286801067,1.6233041714213263,7.447191581082794
2004-01-06,1.2773023374632775,135.64950823860008,0.7000894111636224,1.5675054285349341,9.113168987099245,8.556009707497765,1.6584493549623196,1.638012517562907,7.448844041384595
2004-01-07,1.2664640324214793,134.48581560283688,0.6961752786220872,1.568515704154002,9.093211752786221,8.623353596757852,1.6479229989868287,1.6317122593718338,7.4506079027355625
2004-01-08,1.277139208173691,135.59386973180077,0.6964240102171136,1.5648786717752234,9.116219667943806,8.699233716475096,1.6468710089399745,1.6334610472541504,7.447637292464878
2004-01-09,1.2853470437017995,136.9408740359897,0.6958868894601542,1.5668380462724936,9.106683804627249,8.634961439588688,1.6526992287917739,1.6311053984575834,7.4498714652956295
2004-01-12,1.2802458071949814,136.32057355012162,0.6915887850467289,1.5651004992958646,9.123031622071437,8.617334528229419,1.643835616438356,1.630393035462809,7.449110229164
2004-01-13,1.273560876209883,135.31584309730005,0.6909067753438614,1.5616403464085582,9.13920020376974,8.560366785532349,1.6386907794192562,1.6211156393275596,7.448675496688741
2004-01-14,1.2725884448969202,134.97073046576736,0.6912700432680071,1.5612115041995416,9.184907101043523,8.546703995927716,1.6359124459149912,1.6373122932043775,7.451896156782896
2004-01-15,1.2588116817724069,133.55991943605235,0.6914652567975831,1.5636958710976838,9.177995971802618,8.592648539778448,1.634441087613293,1.6351963746223563,7.453423967774421
2004-01-16,1.2394645513138325,132.4615765989093,0.6887704511650967,1.5690381755081806,9.182573128408528,8.618740704015865,1.6175012394645514,1.6082052553296977,7.451041150223104
2004-01-19,,,,,,,,,
2004-01-20,1.2583364791745313,134.85592047313452,0.6918333962501573,1.5688939222348055,9.170756260223985,8.62212155530389,1.6360890902227256,1.6183465458663648,7.452497797911162
2004-01-21,1.2616704516780217,134.79687105727984,0.6896290688872067,1.5677517032551098,9.104213979308605,8.571789048700479,1.6315922281100177,1.6424425939944487,7.446379005803685
2004-01-22,1.2717792191275594,134.91033956505152,0.6894315146890501,1.569121200559583,9.117385221925474,8.610581203103141,1.6323286277502227,1.6494976472084446,7.4500826656492425
2004-01-23,1.2610340479192939,133.93442622950818,0.69281210592686,1.5674653215636822,9.151324085750314,8.610592686002521,1.6346784363177804,1.653846153846154,7.452080706179067
2004-01-26,1.25517760763148,133.2371030500816,0.6897200953934982,1.5669637253671396,9.172837956570856,8.615539098782477,1.6238232709928457,1.648048198820133,7.448851512489018
2004-01-27,1.2642225031605563,133.4513274336283,0.6916561314791403,1.5662452591656129,9.159292035398229,8.613147914032869,1.6197218710493044,1.6495575221238936,7.4500632111251575
2004-01-28,1.2619888944977284,133.1650681474003,0.6870267541645634,1.5686521958606765,9.148157496214033,8.732584553255931,1.6203937405350834,1.6680969207470975,7.443210499747602
2004-01-29,1.2388503468780971,131.42963330029733,0.6839692765113975,1.5635530227948464,9.179881070366699,8.762388503468781,1.633300297324083,1.6526263627353817,7.457879088206144
2004-01-30,1.2451749470800646,131.78931639895404,0.6836010459469556,1.5680488108579256,9.229236707757439,8.736271946208442,1.633046943095505,1.6517245673017058,7.448636533432947
2004-02-02,1.242544731610338,131.2002982107356,0.683399602385686,1.5690854870775348,9.185760437375745,8.677435387673956,1.642271371769384,1.6631461232604374,7.451540755467197
2004-02-03,1.256123602562492,132.34518276598416,0.683456852154252,1.5673910312774777,9.19356864715488,8.73508353221957,1.6417535485491772,1.6799397060670769,7.45006908679814
2004-02-04,1.25517760763148,132.45889293335009,0.6845738672022091,1.5685954562570605,9.190410443077695,8.748587925191414,1.6462909501694492,1.6731517509727627,7.453244634115728
2004-02-05,1.2605571662674901,133.01399218454557,0.6858691541661415,1.568511281986638,9.200176478003277,8.767175091390394,1.6466658262952225,1.6788100340350436,7.448632295474599
2004-02-06,1.2693577050012694,134.00609291698402,0.6876110687991877,1.5667682152830669,9.117796395024119,8.745874587458745,1.6530845392231532,1.6878649403401882,7.452399086062454
